Date,coal
2014-02-28,73.7
2014-03-31,75.80000000000001
2014-04-30,75.59285714285714
2014-05-31,75.55952380952381
2014-06-30,73.14047619047616
2014-07-31,74.70909090909093
2014-08-31,77.16666666666667
2014-09-30,74.33809523809525
2014-10-31,72.34130434782608
2014-11-30,73.17894736842106
2014-12-31,69.9857142857143
2015-01-31,57.373684210526314
2015-02-28,62.12631578947368
2015-03-31,59.73181818181819
2015-04-30,58.77142857142859
2015-05-31,57.8525
2015-06-30,58.50454545454545
2015-07-31,58.25238095238095
2015-08-31,55.4595238095238
2015-09-30,53.17380952380952
2015-10-31,51.29318181818181
2015-11-30,51.46500000000001
2015-12-31,46.90909090909091
2016-01-31,45.47368421052632
2016-02-29,44.127500000000005
2016-03-31,45.20909090909092
2016-04-30,45.57857142857143
2016-05-31,48.354761904761915
2016-06-30,53.36136363636363
2016-07-31,59.332499999999996
2016-08-31,60.8304347826087
2016-09-30,65.02380952380952
2016-10-31,78.93333333333335
2016-11-30,84.47380952380952
2016-12-31,79.97380952380952
2017-01-31,83.49444444444445
2017-02-28,78.86842105263156
2017-03-31,71.9891304347826
2017-04-30,74.63684210526317
2017-05-31,74.19999999999999
2017-06-30,78.2727272727273
2017-07-31,82.405
2017-08-31,85.52391304347827
2017-09-30,90.91750000000002
2017-10-31,91.77499999999999
2017-11-30,92.0904761904762
2017-12-31,94.1975
2018-01-31,93.09210526315789
2018-02-28,83.93157894736842
2018-03-31,80.27857142857144
2018-04-30,82.85952380952384
2018-05-31,90.81136363636362
2018-06-30,96.2047619047619
2018-07-31,98.3452380952381
2018-08-31,97.23913043478262
2018-09-30,100.58947368421052
2018-10-31,100.01521739130435
2018-11-30,87.86428571428571
2018-12-31,88.23947368421051
2019-01-31,81.9125
2019-02-28,74.2
2019-03-31,69.33571428571429
2019-04-30,61.43095238095238
2019-05-31,59.17272727272728
2019-06-30,51.379999999999995
2019-07-31,58.82272727272728
2019-08-31,56.4840909090909
2019-09-30,60.817499999999995
2019-10-31,60.18260869565218
2019-11-30,57.99749999999999
2019-12-31,54.95
2020-01-31,51.62619047619047
2020-02-29,48.75789473684211
2020-03-31,49.51818181818182
2020-04-30,44.654761904761905
2020-05-31,42.13250000000001
2020-06-30,46.83636363636363
2020-07-31,50.29772727272727
2020-08-31,50.078571428571436
2020-09-30,53.99047619047618
2020-10-31,56.55681818181818
2020-11-30,54.347500000000004
2020-12-31,66.86136363636363
2021-01-31,68.39210526315789
2021-02-28,65.23947368421051
